"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-08-13,"China",NA,NA,NA,NA,NA,NA,1,6
2020-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-15,"China",NA,NA,NA,25,NA,NA,1,1
2020-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-19,"China",NA,NA,NA,NA,NA,100,1,6
2020-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-21,"China",NA,NA,NA,NA,NA,NA,0,1
2020-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-23,"China",NA,NA,NA,NA,NA,NA,0,2
2020-08-24,"China",NA,NA,NA,NA,NA,100,0,6
2020-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-28,"China",47,NA,NA,NA,NA,NA,0,2
2020-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-31,"China",NA,NA,NA,NA,NA,NA,1,1
2020-09-01,"China",NA,NA,NA,25,NA,NA,1,1
2020-09-02,"China",NA,NA,NA,NA,NA,NA,1,6
2020-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-04,"China",NA,NA,NA,NA,NA,NA,0,6
2020-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-06,"China",NA,NA,NA,5,NA,NA,0,1
2020-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-08,"China",NA,NA,NA,NA,NA,100,0,6
2020-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-11,"China",NA,NA,NA,NA,NA,NA,0,3
2020-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"China",NA,NA,NA,NA,NA,NA,0,5
2020-09-15,"China",NA,NA,NA,NA,NA,NA,0,4
2020-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-17,"China",NA,47,NA,NA,NA,NA,0,2
2020-09-18,"China",NA,47,NA,NA,NA,NA,0,2
2020-09-19,"China",NA,67,NA,NA,NA,NA,1,2
2020-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-21,"China",NA,NA,NA,NA,NA,NA,0,2
2020-09-22,"China",NA,NA,NA,5,NA,NA,0,1
2020-09-23,"China",NA,NA,NA,55,NA,NA,0,3
2020-09-24,"China",NA,NA,NA,NA,NA,100,0,6
2020-09-25,"China",NA,NA,30,NA,NA,NA,0,2
2020-09-26,"China",47,NA,NA,NA,NA,NA,0,2
2020-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-28,"China",NA,NA,NA,NA,NA,100,1,6
2020-09-29,"China",NA,NA,NA,NA,NA,NA,0,3
2020-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-01,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-02,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-07,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-09,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-10,"China",NA,NA,NA,NA,NA,NA,1,2
2020-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-12,"China",NA,NA,NA,NA,80,NA,0,5
2020-10-13,"China",NA,NA,NA,NA,NA,NA,0,2
2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-16,"China",NA,NA,NA,NA,0,NA,0,1
2020-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-22,"China",NA,NA,NA,NA,NA,NA,0,3
2020-10-23,"China",NA,NA,5,NA,NA,NA,0,1
2020-10-24,"China",NA,NA,NA,NA,NA,NA,0,5
2020-10-25,"China",NA,NA,NA,NA,0,NA,0,1
2020-10-26,"China",NA,NA,NA,NA,NA,17,0,1
2020-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-30,"China",NA,47,NA,NA,NA,NA,0,2
2020-10-31,"China",NA,NA,NA,5,NA,NA,0,1
2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-02,"China",NA,NA,NA,NA,NA,17,0,1
2020-11-03,"China",NA,47,NA,NA,NA,NA,0,2
2020-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-05,"China",NA,NA,NA,NA,NA,NA,1,6
2020-11-06,"China",NA,NA,NA,NA,NA,100,1,6
2020-11-07,"China",NA,NA,NA,NA,NA,67,1,4
2020-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-09,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-10,"China",NA,NA,NA,NA,NA,NA,0,4
2020-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-13,"China",NA,NA,NA,5,NA,NA,0,1
2020-11-14,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-16,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-17,"China",NA,NA,NA,NA,NA,NA,0,6
2020-11-18,"China",NA,NA,NA,NA,NA,67,0,4
2020-11-19,"China",NA,NA,NA,NA,NA,67,0,4
2020-11-20,"China",NA,NA,NA,NA,NA,NA,0,6
2020-11-21,"China",NA,NA,NA,NA,NA,NA,0,5
2020-11-22,"China",NA,NA,NA,NA,NA,NA,0,5
2020-11-23,"China",NA,NA,NA,NA,NA,NA,0,3
2020-11-24,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-25,"China",NA,NA,NA,NA,NA,NA,0,2
2020-11-26,"China",NA,47,NA,NA,NA,NA,0,2
2020-11-27,"China",NA,NA,NA,NA,NA,NA,0,6
2020-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-30,"China",NA,NA,NA,NA,0,NA,0,1
2020-12-01,"China",NA,NA,NA,NA,NA,NA,1,3
2020-12-02,"China",NA,NA,NA,NA,NA,NA,0,4
2020-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-04,"China",NA,NA,NA,NA,NA,100,1,6
2020-12-05,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-06,"China",NA,NA,NA,NA,0,NA,0,1
2020-12-07,"China",NA,47,NA,NA,NA,NA,0,2
2020-12-08,"China",NA,NA,NA,NA,NA,NA,0,5
2020-12-09,"China",NA,NA,NA,NA,NA,NA,0,1
2020-12-10,"China",NA,NA,NA,NA,NA,NA,0,3
2020-12-11,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-12,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-13,"China",NA,NA,NA,NA,NA,NA,0,2
2020-12-14,"China",NA,NA,NA,NA,NA,NA,0,4
2020-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-16,"China",NA,NA,NA,NA,NA,17,0,1
2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-18,"China",NA,NA,NA,NA,NA,NA,0,6
2020-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-21,"China",NA,NA,NA,NA,NA,NA,0,4
2020-12-22,"China",NA,NA,NA,NA,NA,33,0,2
2020-12-23,"China",NA,NA,NA,NA,NA,NA,0,6
2020-12-24,"China",NA,NA,NA,NA,NA,NA,1,6
2020-12-25,"China",NA,NA,NA,NA,NA,33,0,2
2020-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-28,"China",NA,NA,30,NA,NA,NA,0,2
2020-12-29,"China",NA,NA,NA,NA,20,NA,0,2
2020-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-31,"China",NA,47,NA,NA,NA,NA,0,2
2021-01-01,"China",NA,NA,NA,NA,NA,100,0,6
2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-04,"China",NA,NA,NA,NA,NA,NA,0,4
2021-01-05,"China",NA,NA,NA,NA,NA,33,0,2
2021-01-06,"China",NA,NA,NA,NA,NA,NA,0,4
2021-01-07,"China",NA,NA,NA,NA,NA,NA,0,3
2021-01-08,"China",NA,NA,NA,NA,NA,NA,0,2
2021-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-10,"China",NA,NA,NA,NA,60,NA,0,4
2021-01-11,"China",NA,NA,NA,5,NA,NA,0,1
2021-01-12,"China",NA,NA,NA,NA,60,NA,0,4
2021-01-13,"China",NA,NA,NA,NA,NA,NA,0,4
2021-01-14,"China",NA,NA,NA,NA,NA,17,0,1
2021-01-15,"China",NA,NA,NA,NA,NA,67,0,4
2021-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-18,"China",NA,NA,5,NA,NA,NA,0,1
2021-01-19,"China",NA,NA,NA,NA,NA,NA,0,3
2021-01-20,"China",NA,NA,NA,NA,NA,NA,1,4
2021-01-21,"China",NA,NA,NA,NA,NA,NA,0,2
2021-01-22,"China",NA,NA,NA,NA,NA,NA,0,3
2021-01-23,"China",NA,NA,NA,NA,NA,NA,0,4
2021-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-25,"China",NA,NA,NA,NA,20,NA,0,2
2021-01-26,"China",NA,NA,NA,NA,NA,NA,0,1
2021-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-28,"China",NA,NA,NA,NA,NA,NA,1,3
2021-01-29,"China",NA,NA,NA,NA,40,NA,1,2
2021-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-31,"China",NA,NA,NA,NA,NA,100,1,6
2021-02-01,"China",NA,47,NA,NA,NA,NA,0,2
2021-02-02,"China",NA,NA,5,NA,NA,NA,0,1
2021-02-03,"China",NA,NA,NA,NA,20,NA,0,2
2021-02-04,"China",NA,NA,NA,NA,NA,NA,0,3
2021-02-05,"China",NA,NA,NA,NA,20,NA,0,2
2021-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-08,"China",NA,NA,NA,NA,20,NA,0,2
2021-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-11,"China",NA,47,NA,NA,NA,NA,0,2
2021-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-14,"China",NA,NA,NA,NA,NA,NA,0,4
2021-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-18,"China",NA,47,NA,NA,NA,NA,0,2
2021-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-22,"China",NA,NA,NA,NA,NA,NA,1,3
2021-02-23,"China",NA,NA,NA,NA,NA,17,0,1
2021-02-24,"China",NA,NA,NA,NA,NA,NA,0,2
2021-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-01,"China",NA,NA,NA,NA,NA,NA,0,6
2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-04,"China",NA,NA,NA,NA,NA,NA,0,3
2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
